Kategorie	ID	Anbieter	Produkt	Merkmal	Rohwert	Beleg-URL	Finanzfluss-Linkkennung	Eigener Link	Nächster Belegweg
Girokonto	wise-konto	Wise	Konto	Zins ab Start	teils	https://wise.com/help/articles/b8sVSdAzytqVamfajSirb/how-does-balance-cashback-work-if-you-live-in-the-eea	wise-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	wise-konto	Wise	Konto	Dispo ab Start	offen		wise-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	1822direkt-girodirekt	1822direkt	GiroDirekt	Zins ab Start	schlecht	https://www.1822direkt.de/girokonto/	1822direkt-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	1822direkt-girodirekt	1822direkt	GiroDirekt	Dispo ab Start	gut	https://www.1822direkt.de/produktseiten/girokonto/	1822direkt-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	bbva-girokonto	BBVA	Girokonto	Zins ab Start	schlecht	https://www.bbva.de/privat/produkte/konten/faqs-girokonto.html	bbva-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	bbva-girokonto	BBVA	Girokonto	Dispo ab Start	gut	https://www.bbva.de/privat/services/finanzierung/dispokredit.html	bbva-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-max	C24	Max	Zins ab Start	schlecht	https://hilfe.c24.de/hc/de/articles/10830005408914-Aktuelle-Zinskonditionen	c24-max		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-max	C24	Max	Dispo ab Start	gut	https://api.c24.de/api/documents/c24_current_accounts_conditions/download/	c24-max		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-plus	C24	Plus	Zins ab Start	schlecht	https://hilfe.c24.de/hc/de/articles/10830005408914-Aktuelle-Zinskonditionen	c24-plus		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-plus	C24	Plus	Dispo ab Start	gut	https://api.c24.de/api/documents/c24_current_accounts_conditions/download/	c24-plus		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-smart	C24	Smart	Zins ab Start	schlecht	https://hilfe.c24.de/hc/de/articles/10830005408914-Aktuelle-Zinskonditionen	c24-smart		bei Änderung erneut gegen Anbieter prüfen
Girokonto	c24-smart	C24	Smart	Dispo ab Start	gut	https://api.c24.de/api/documents/c24_current_accounts_conditions/download/	c24-smart		bei Änderung erneut gegen Anbieter prüfen
Girokonto	ing-girokonto	ING	Girokonto	Zins ab Start	schlecht	https://www.ing.de/girokonto/kundenservice/	ing-diba-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	ing-girokonto	ING	Girokonto	Dispo ab Start	gut	https://www.ing.de/dokumente/agb-girokonto/	ing-diba-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	ing-girokonto-future	ING	Girokonto Future	Zins ab Start	schlecht	https://www.ing.de/girokonto/kundenservice/	ing-diba-girokonto-future		bei Änderung erneut gegen Anbieter prüfen
Girokonto	ing-girokonto-future	ING	Girokonto Future	Dispo ab Start	gut	https://www.ing.de/dokumente/agb-girokonto/	ing-diba-girokonto-future		bei Änderung erneut gegen Anbieter prüfen
Girokonto	norisbank-girokonto-plus	Norisbank	Girokonto Plus	Zins ab Start	schlecht	https://www.norisbank.de/dam/norisbank/de/shared/pdf/nb_Preisaushang.pdf	norisbank-girokonto-plus		bei Änderung erneut gegen Anbieter prüfen
Girokonto	norisbank-girokonto-plus	Norisbank	Girokonto Plus	Dispo ab Start	offen		norisbank-girokonto-plus		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Girokonto	norisbank-top-girokonto	Norisbank	Top-Girokonto	Zins ab Start	schlecht	https://www.norisbank.de/produkte/girokonto.html	norisbank-top-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	norisbank-top-girokonto	Norisbank	Top-Girokonto	Dispo ab Start	schlecht	https://www.norisbank.de/girokonto/produkte/girokonto-dispokredit.html	norisbank-top-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	santander-bestgiro	Santander	BestGiro	Zins ab Start	schlecht	https://www.santander.de/privatkunden/konten-und-karten/konten/kostenloses-girokonto/	santander-girokonto		bei Änderung erneut gegen Anbieter prüfen
Girokonto	santander-bestgiro	Santander	BestGiro	Dispo ab Start	offen		santander-girokonto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	21bitcoin-app	21bitcoin	App	Zins ab Start	offen		21bitcoin-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	21bitcoin-app	21bitcoin	App	Bezahlmodell	offen		21bitcoin-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	binance-pro	Binance	Pro	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	binance-pro	Binance	Pro	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	binance-standard	Binance	Standard	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	binance-standard	Binance	Standard	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bison-app	Bison	App	Zins ab Start	offen		bison-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bison-app	Bison	App	Bezahlmodell	offen		bison-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bitget-trading	Bitget	Trading	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bitget-trading	Bitget	Trading	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bitpanda-fusion	Bitpanda	Fusion	Zins ab Start	teils	https://support.bitpanda.com/hc/de/articles/24873644625820-Bitpanda-Passive-Earn	bitpanda-fusion		bei Änderung erneut gegen Anbieter prüfen
Krypto	bitpanda-fusion	Bitpanda	Fusion	Bezahlmodell	offen		bitpanda-fusion		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bitpanda-standard	Bitpanda	Standard	Zins ab Start	teils	https://support.bitpanda.com/hc/de/articles/24873644625820-Bitpanda-Passive-Earn	bitpanda-kryptoboerse		bei Änderung erneut gegen Anbieter prüfen
Krypto	bitpanda-standard	Bitpanda	Standard	Bezahlmodell	offen		bitpanda-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bitvavo-standard	Bitvavo	Standard	Zins ab Start	gut	https://bitvavo.com/de/earn-de	bitvavo-kryptoboerse		bei Änderung erneut gegen Anbieter prüfen
Krypto	bitvavo-standard	Bitvavo	Standard	Bezahlmodell	offen		bitvavo-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bsdex-standard	BSDEX	Standard	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	bsdex-standard	BSDEX	Standard	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	etoro-krypto	eToro	Krypto	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	etoro-krypto	eToro	Krypto	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	finanzen-net-zero-krypto	finanzen.net zero	Krypto	Zins ab Start	offen		finanzen-net-zero-krypto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	finanzen-net-zero-krypto	finanzen.net zero	Krypto	Bezahlmodell	offen		finanzen-net-zero-krypto		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	finst-standard	Finst	Standard	Zins ab Start	gut	https://finst.com/de/staking			bei Änderung erneut gegen Anbieter prüfen
Krypto	finst-standard	Finst	Standard	Bezahlmodell	gut	https://finst.com/de/fees			bei Änderung erneut gegen Anbieter prüfen
Krypto	flatex-krypto	flatex	Krypto	Zins ab Start	offen		flatex-depot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	flatex-krypto	flatex	Krypto	Bezahlmodell	offen		flatex-depot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	justtrade-krypto	justTRADE	Krypto	Zins ab Start	offen		justtrade-wertpapierdepot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	justtrade-krypto	justTRADE	Krypto	Bezahlmodell	offen		justtrade-wertpapierdepot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	kraken-pro	Kraken	Pro	Zins ab Start	gut	https://support.kraken.com/de/articles/overview-of-auto-earn-on-kraken	kraken	/out/kraken	bei Änderung erneut gegen Anbieter prüfen
Krypto	kraken-pro	Kraken	Pro	Bezahlmodell	offen		kraken	/out/kraken	Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	kraken-standard	Kraken	Standard	Zins ab Start	gut	https://support.kraken.com/de/articles/overview-of-auto-earn-on-kraken	kraken		bei Änderung erneut gegen Anbieter prüfen
Krypto	kraken-standard	Kraken	Standard	Bezahlmodell	offen		kraken		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	okx-trading	OKX	Trading	Zins ab Start	offen		okx-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	okx-trading	OKX	Trading	Bezahlmodell	offen		okx-kryptoboerse		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	relai-app	Relai	App	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	relai-app	Relai	App	Bezahlmodell	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	revolut-krypto	Revolut	Krypto	Zins ab Start	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	revolut-krypto	Revolut	Krypto	Bezahlmodell	offen		revolut		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	scalable-capital-krypto	Scalable Capital	Krypto	Zins ab Start	offen		scalable-capital		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	scalable-capital-krypto	Scalable Capital	Krypto	Bezahlmodell	offen		scalable-capital		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	smartbroker-plus-krypto	Smartbroker+	Krypto	Zins ab Start	offen		smartbroker-depot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	smartbroker-plus-krypto	Smartbroker+	Krypto	Bezahlmodell	offen		smartbroker-depot		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	trade-republic-krypto	Trade Republic	Krypto	Zins ab Start	offen		trade-republic		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	trade-republic-krypto	Trade Republic	Krypto	Bezahlmodell	offen		trade-republic		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	traders-place-krypto	Traders Place	Krypto	Zins ab Start	offen		traders-place		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	traders-place-krypto	Traders Place	Krypto	Bezahlmodell	offen		traders-place		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	coinbase-advanced	Coinbase	Advanced	Zins ab Start	offen		coinbase-standard		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	coinbase-advanced	Coinbase	Advanced	Bezahlmodell	schlecht	https://www.coinbase.com/one	coinbase-standard		bei Änderung erneut gegen Anbieter prüfen
Krypto	coinbase-standard	Coinbase	Standard	Zins ab Start	offen		coinbase-standard		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	coinbase-standard	Coinbase	Standard	Bezahlmodell	schlecht	https://www.coinbase.com/one	coinbase-standard		bei Änderung erneut gegen Anbieter prüfen
Krypto	crypto-com-app	crypto.com	App	Zins ab Start	offen		crypto-com		Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	crypto-com-app	crypto.com	App	Bezahlmodell	schlecht	https://help.crypto.com/en/articles/12017612-level-up-rewards-and-benefits	crypto-com		bei Änderung erneut gegen Anbieter prüfen
Krypto	robinhood-krypto	Robinhood	Krypto	Zins ab Start	offen				Anbieter-Preisverzeichnis/AGB und ggf. schriftliche Tarifbestätigung
Krypto	robinhood-krypto	Robinhood	Krypto	Bezahlmodell	schlecht	https://etf.capital/robinhood-depot-test-2026-erfahrungen-nachteile/			bei Änderung erneut gegen Anbieter prüfen
Girokonto	sumup-privatkonto	SumUp	Privatkonto	Zins ab Start	offen				SumUp Privatkonto: Preisverzeichnis/AGB und schriftliche Bestätigung
Girokonto	sumup-privatkonto	SumUp	Privatkonto	Dispo ab Start	offen				SumUp Privatkonto: Preisverzeichnis/AGB und schriftliche Bestätigung
Girokonto	sumup-privatkonto	SumUp	Privatkonto	Karte ohne Kredit	offen				SumUp Privatkonto: Preisverzeichnis/AGB und schriftliche Bestätigung
